areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
overview,United Kingdom,K02000001,2021-06-14,10362,4680770,10171,4660095,191,20675
overview,United Kingdom,K02000001,2021-06-13,7135,4670408,7009,4649924,126,20484
overview,United Kingdom,K02000001,2021-06-12,6284,4663273,6163,4642915,121,20358
overview,United Kingdom,K02000001,2021-06-11,7619,4656989,7466,4636752,153,20237
overview,United Kingdom,K02000001,2021-06-10,8042,4649370,7881,4629286,161,20084
overview,United Kingdom,K02000001,2021-06-09,8210,4641328,8071,4621405,139,19923
overview,United Kingdom,K02000001,2021-06-08,7896,4633118,7720,4613334,176,19784
overview,United Kingdom,K02000001,2021-06-07,7945,4625222,7789,4605614,156,19608
overview,United Kingdom,K02000001,2021-06-06,5533,4617277,5432,4597825,101,19452
overview,United Kingdom,K02000001,2021-06-05,4731,4611744,4661,4592393,70,19351
overview,United Kingdom,K02000001,2021-06-04,5860,4607013,5758,4587732,102,19281
overview,United Kingdom,K02000001,2021-06-03,6256,4601153,6129,4581974,127,19179
overview,United Kingdom,K02000001,2021-06-02,6168,4594897,6071,4575845,97,19052
overview,United Kingdom,K02000001,2021-06-01,5431,4588729,5286,4569774,145,18955
overview,United Kingdom,K02000001,2021-05-31,3897,4583298,3802,4564488,95,18810
overview,United Kingdom,K02000001,2021-05-30,3164,4579401,3106,4560686,58,18715
overview,United Kingdom,K02000001,2021-05-29,2999,4576237,2952,4557580,47,18657
overview,United Kingdom,K02000001,2021-05-28,3589,4573238,3508,4554628,81,18610
overview,United Kingdom,K02000001,2021-05-27,3747,4569649,3648,4551120,99,18529
overview,United Kingdom,K02000001,2021-05-26,3921,4565902,3831,4547472,90,18430
overview,United Kingdom,K02000001,2021-05-25,3427,4561981,3329,4543641,98,18340
overview,United Kingdom,K02000001,2021-05-24,3368,4558554,3265,4540312,103,18242
overview,United Kingdom,K02000001,2021-05-23,2326,4555186,2262,4537047,64,18139
overview,United Kingdom,K02000001,2021-05-22,2000,4552860,1940,4534785,60,18075
overview,United Kingdom,K02000001,2021-05-21,2365,4550860,2309,4532845,56,18015
overview,United Kingdom,K02000001,2021-05-20,2517,4548495,2432,4530536,85,17959
overview,United Kingdom,K02000001,2021-05-19,2812,4545978,2736,4528104,76,17874
overview,United Kingdom,K02000001,2021-05-18,2812,4543166,2725,4525368,87,17798
overview,United Kingdom,K02000001,2021-05-17,2858,4540354,2765,4522643,93,17711
overview,United Kingdom,K02000001,2021-05-16,1922,4537496,1866,4519878,56,17618
overview,United Kingdom,K02000001,2021-05-15,1626,4535574,1583,4518012,43,17562
overview,United Kingdom,K02000001,2021-05-14,1936,4533948,1864,4516429,72,17519
overview,United Kingdom,K02000001,2021-05-13,2182,4532012,2112,4514565,70,17447
overview,United Kingdom,K02000001,2021-05-12,2334,4529830,2243,4512453,91,17377
overview,United Kingdom,K02000001,2021-05-11,2328,4527496,2251,4510210,77,17286
overview,United Kingdom,K02000001,2021-05-10,2808,4525168,2725,4507959,83,17209
overview,United Kingdom,K02000001,2021-05-09,2307,4522360,2229,4505234,78,17126
overview,United Kingdom,K02000001,2021-05-08,1608,4520053,1561,4503005,47,17048
overview,United Kingdom,K02000001,2021-05-07,1981,4518445,1909,4501444,72,17001
overview,United Kingdom,K02000001,2021-05-06,2325,4516464,2235,4499535,90,16929
overview,United Kingdom,K02000001,2021-05-05,2569,4514139,2468,4497300,101,16839
overview,United Kingdom,K02000001,2021-05-04,2550,4511570,2459,4494832,91,16738
overview,United Kingdom,K02000001,2021-05-03,2084,4509020,2024,4492373,60,16647
overview,United Kingdom,K02000001,2021-05-02,1521,4506936,1467,4490349,54,16587
overview,United Kingdom,K02000001,2021-05-01,1431,4505415,1379,4488882,52,16533
overview,United Kingdom,K02000001,2021-04-30,1825,4503984,1741,4487503,84,16481
overview,United Kingdom,K02000001,2021-04-29,2230,4502159,2138,4485762,92,16397
